procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 2097072 578484  35272 3979884    0    0  1869   103    1    0  6  2 92  0  0
 0  0 2097072 561148  35304 3999996    0    0 19316   632 11865 16982 19  4 78  0  0
 0  1 2097072 490064  34836 4072352    0    0 118480     0 13858 21598 15  4 76  5  0
 2  0 2097004 495388  34836 4065604   68    0 21204   400 10883 16998 13  3 83  1  0
 2  0 2097004 493204  34904 4063792    0    0  1328   500 10789 15929 19  3 78  0  0
 1  0 2097004 515580  34188 4042756    0    0   640    24 10487 16635 18  3 78  0  0
12  0 2097004 515332  34196 4042692    0    0     0   224 10337 16183 17  3 79  0  0
 0  0 2097004 491404  34196 4058112    0    0 15620   100 11131 16536 18  4 78  0  0
 2  0 2097004 487820  34204 4059828    0    0  1540 34156 28441 16186 17  4 79  0  0
 1  0 2097004 487820  34204 4056756    0    0     0   192 10832 16353 21  4 75  0  0
 2  0 2097004 488908  34340 4057128    0    0   504    20 10400 16318 18  3 78  0  0
 2  0 2097004 488728  34348 4060344    0    0     0   348 10422 16371 19  3 78  0  0
 1  0 2097004 488728  34348 4060088    0    0     0     0 10340 16018 18  3 79  0  0
 1  0 2097004 478968  34348 4060540    0    0   448 17400 29372 16791 19  4 77  0  0
 0  0 2097004 469420  34424 4060608    0    0    68  1240 10887 17224 16  3 81  0  0
 1  0 2097004 469420  34440 4061552    0    0   868   204 11276 16985 21  4 75  0  0
 2  0 2097004 505884  30724 4038640    0    0     0   380 11969 18622 24  5 72  0  0
 0  0 2097004 493196  30732 4038660    0    0    12   192 11536 17237 16  3 81  0  0
 0  0 2097004 493208  30732 4039116    0    0   444     4 10929 16641 18  3 79  0  0
 0  0 2097004 498792  30732 4036100    0    0    32    36 11057 16677 20  3 77  0  0
 0  0 2097004 498796  30736 4037012    0    0  1100   444 10682 16428 18  3 79  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 2097004 498624  30748 4037012    0    0    12   528 11017 16838 17  3 80  0  0
 0  0 2097004 499476  30764 4037064    0    0     8   244 11140 16655 22  4 74  0  0
 0  0 2097004 499476  30772 4037064    0    0     0    76 11447 16765 23  4 73  0  0
 2  0 2097004 500352  29116 4014196    0    0 15948   156 11576 18110 18  3 78  1  0
 0  0 2097004 690956  30288 3758116    0    0 28220   248 16244 30027 22  4 71  3  0
 1  0 2097004 690956  30584 3758116    0    0   296  1244 10913 16443 20  3 76  0  0
 0  0 2097004 690960  30584 3758116    0    0     0    16 10884 16551 21  3 76  0  0
 3  0 2097004 686424  36712 3759324    0    0  7444  1500 11724 17118 21  4 74  0  0
 1  0 2097004 686576  36716 3760992    0    0  1680     8 10888 16454 18  3 78  0  0
 2  0 2097004 676344  36876 3765220    0    0  1028   380 11171 16756 21  4 76  0  0
 4  0 2097004 676344  37004 3765220    0    0   128     0 11209 16876 22  5 73  0  0
 2  0 2097004 676344  37016 3765352    0    0   144   328 11143 16896 21  3 76  0  0
 4  0 2097004 676104  37024 3765352    0    0     8     0 10538 16383 19  3 78  0  0
 3  0 2097004 675852  37024 3762284    0    0     0    24 10780 16531 18  3 79  0  0
 8  0 2097004 599088  37588 3802072    0    0 40260   296 12733 21508 24  4 71  1  0
 5  0 2097004 496824  54916 3815244    0    0 29452    56 18206 34605 28  2 63  6  0
 2  1 2097004 485136  59308 3861416    0    0 156836   984 18043 35570 35  4 56  5  0
 3  0 2097004 486716  46200 3860308    0    0 14964   240 13253 21478 17  3 79  1  0
 8  1 2097004 493428  46248 3939368    0    0 78948 28288 18389 19499 15  4 78  2  0
 1  0 2097004 500820  45360 3932064    0    0 52180    24 14371 22877 18  4 74  4  0
 2  0 2097004 501752  45376 3932664    0    0   616   264 10970 16960 19  3 77  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 2097004 501424  45396 3935792    0    0  2744 83768 11572 16966 16  3 80  0  0
 3  0 2097004 502416  45484 3937504    0    0  1784   132 10636 16696 17  2 80  0  0
 1  0 2097004 517100  45620 3937528    0    0   268 14448 17226 17009 18  4 78  0  0
 1  0 2097004 518872  45772 3939336    0    0  1179     0 10745 16572 19  4 77  0  0
 0  0 2097004 518476  45976 3941592    0    0  2296   236 11785 18928 23  5 72  0  0
 5  0 2097004 528056  45980 3944836    0    0    28 56704 10677 16383 15  3 81  0  0
 1  0 2097004 529264  45980 3944836    0    0     0     4 11278 17041 21  4 75  0  0
 1  0 2097004 529732  46144 3947124    0    0  2556   388 10753 16854 18  3 79  0  0
 0  0 2097004 529516  46144 3944188    0    0    12    80 10975 16863 18  3 79  0  0
 0  0 2097004 529460  46236 3945464    0    0    88  1460 11083 17187 19  4 77  0  0
 1  0 2097004 503804  46372 3990176    0    0 41836    32 12584 18848 18  4 76  2  0
 0  0 2097004 492916  45020 3988112    0    0 46376    88 13352 20079 14  3 81  3  0
 1  0 2097004 495320  45028 3988224    0    0     8   268 11153 16949 22  4 74  0  0
 0  0 2097004 495712  45028 3988316    0    0    92   212 11112 16800 21  4 75  0  0
 1  0 2097004 498228  45028 3985272    0    0    28     0 11030 16652 21  3 76  0  0
 0  0 2097004 487088  45028 3988620    0    0     8   192 10999 16927 20  3 77  0  0
 0  0 2097004 485324  45032 3990772    0    0  2216   100 10900 16938 17  3 80  0  0
 1  0 2097004 485272  45228 3996408    0    0  5824   336 11394 17233 17  4 79  0  0
 3  0 2097004 487340  45236 3996424    0    0    24   224 11126 16872 21  3 76  0  0
 2  0 2097004 488856  45240 3993356    0    0     4   236 11416 17123 23  4 73  0  0
 2  0 2097004 510232  44624 3971960    0    0  2504   328 11593 17057 24  4 72  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 2097004 491748  44624 3984340    0    0 12940     0 11306 16870 21  4 75  0  0
 4  0 2097004 467456  41436 4082172    0    0 578824 66460 65349 17772  9  6 82  2  0
 4  0 2097004 463676  41444 4083356    0    0   992   188 11080 16421 20  3 77  0  0
 3  1 2097004 439728  38488 4043540    0    0 20032   116 13946 20345 26  3 70  0  0
 3  0 2097004 488616  38768 4004484    0    0   636  1532 11418 17608 18  4 78  0  0
 3  0 2097004 487356  38768 4006288    0    0  1924    64 11226 17366 19  3 77  0  0
 1  0 2097004 481320  38768 4011864    0    0  5492    16 11066 16949 22  5 74  0  0
 1  0 2097004 481320  38768 4011736    0    0     0    24 10657 16210 21  3 76  0  0
 3  0 2097004 481828  38768 4009908    0    0     0  1236 10685 16340 18  4 78  0  0
 4  0 2097004 492468  38948 3997760    0    0   676  1724 12364 20129 24  3 72  0  0
 3  0 2097004 464680  37072 3968096    0    0 117260   360 17219 26619 33  6 57  4  0
 2  0 2097004 542964  34408 3961148    0    0 11236  3024 13458 18283 15  3 82  0  0
 1  0 2097004 544400  34408 3961148    0    0     0 21648 21216 16740 16  3 82  0  0
